Wireshark SSL debug log 

GnuTLS version:    3.6.3
Libgcrypt version: 1.8.3

CLIENT_RANDOM dd768bfedce4322fd339afdb8573b112d099fac8a1d5c116f618901384102ffc b452b190fbe863424f1118035320834500e4e527174fa556aaf3d264e1208873cdd6b84378cb6f7f61e8e237962a9b8b
CLIENT_EARLY_TRAFFIC_SECRET b58f2d8750b68bfa57193c15956572b471155a9d1dcdd8bf7ee16fe608a34a14 4491b841eaeb8915e5fc6074d4636b8e4474e77bde3b13bb7ee0f72a6bce38a0
CLIENT_HANDSHAKE_TRAFFIC_SECRET b58f2d8750b68bfa57193c15956572b471155a9d1dcdd8bf7ee16fe608a34a14 f6b753e507b107ad3d2360a504ecdf7721ceb2d28abdbe77c6e61c7126c02866
SERVER_HANDSHAKE_TRAFFIC_SECRET b58f2d8750b68bfa57193c15956572b471155a9d1dcdd8bf7ee16fe608a34a14 0762f7c5e0b7c119c330ea2344dd750b248705c8d556624ea6893a149c7811b6
CLIENT_TRAFFIC_SECRET_0 b58f2d8750b68bfa57193c15956572b471155a9d1dcdd8bf7ee16fe608a34a14 e8c930aef8c03c4637dcbada7e91636bf52a8c7ef5cf6af5b62288cdca262cf9
SERVER_TRAFFIC_SECRET_0 b58f2d8750b68bfa57193c15956572b471155a9d1dcdd8bf7ee16fe608a34a14 cfa712d76c4b048c81bdc59f5c28e465b08034d1d319cd2fb87ae3a1c2331329
EXPORTER_SECRET b58f2d8750b68bfa57193c15956572b471155a9d1dcdd8bf7ee16fe608a34a14 7dc46b2845b750b908fb9e4a0f598422dd2275bf6f56328257518d02311fa5d5
CLIENT_HANDSHAKE_TRAFFIC_SECRET b4dab1c031f3fdff645a5daf2686f324336ef39a883ece64fbb0e82e22cbfea0 975c9759d29e07d49bb3349289211f3d2c12c93adcdc0daf004884fcacdad960
SERVER_HANDSHAKE_TRAFFIC_SECRET b4dab1c031f3fdff645a5daf2686f324336ef39a883ece64fbb0e82e22cbfea0 189357c80d20923383a8b3ed3cf817bd7e390bd37df415b42a9e905e7d499a7e
CLIENT_TRAFFIC_SECRET_0 b4dab1c031f3fdff645a5daf2686f324336ef39a883ece64fbb0e82e22cbfea0 fb0e1b059dabdcf0dbacf7db5085d7009ecb74763ed863f8cfa4d75df2d1bab1
SERVER_TRAFFIC_SECRET_0 b4dab1c031f3fdff645a5daf2686f324336ef39a883ece64fbb0e82e22cbfea0 eeb387028b1dbd1a9f06920e951c99a4f57bfcb7101b67e1835f0b6d77152132
EXPORTER_SECRET b4dab1c031f3fdff645a5daf2686f324336ef39a883ece64fbb0e82e22cbfea0 a96138d7e0473bccd10b2df780fe225405524dffc9ea1712be4a769b6eb253ea
CLIENT_RANDOM bedb5aa2cd3fb9d89d2f99880988c31eb6ff835fc74182b6b1804dc4c043fcee 7070ac980532754d1b7c484fd2275da4395a1fd7d8629b24007df10d81393ebf64ce12cf5d00d049950367c67467cf6c
CLIENT_RANDOM 2297ad5632634f63cd4637fcd7a3e7e18b8e728a62e2c9a47f1d96e08dd99fde ad0d0f3b79a456ee7ea9cd83b06fa90a540c3b973dcf3624a3a66a9febec5496c59093407b5c74f5564e3c7ea32a19e7
CLIENT_RANDOM 8e7caa1517ad322806ebeb273ed15b29f7311991f4947f3dff9ee364dc45183e 9abdd2f49b35dfbf2bd097cf2965197b8fa213ae5e5fafb1d83fde39bf5826af57ec6e68b48b9a8efc7106059a4c12d8
